code,name
DEL,"Indira Gandhi International, Delhi"
BOM,"Chhatrapati Shivaji Maharaj International, Mumbai"
BLR,"Kempegowda International, Bengaluru"
HYD,"Rajiv Gandhi International, Hyderabad"
MAA,"Chennai International, Chennai"
CCU,"Netaji Subhas Chandra Bose International, Kolkata"
AMD,"Sardar Vallabhbhai Patel International, Ahmedabad"
COK,"Cochin International, Kochi"
PNQ,"Pune Airport, Pune"
GOI,"Goa International (Dabolim), Goa"
LKO,"Chaudhary Charan Singh International, Lucknow"
GAU,"Lokpriya Gopinath Bordoloi International, Guwahati"
JAI,"Jaipur International, Jaipur"
BBI,"Biju Patnaik International, Bhubaneswar"
GOX,"Manohar International (Mopa), Goa"
TRV,"Trivandrum International, Thiruvananthapuram"
SXR,"Sheikh ul Alam, Srinagar"
IXC,"Chandigarh Airport, Chandigarh"
IDR,"Devi Ahilyabai Holkar, Indore"
PAT,"Jay Prakash Narayan, Patna"
CCJ,"Calicut International, Kozhikode"
IXB,"Bagdogra, Siliguri"
ATQ,"Sri Guru Ram Das Ji International, Amritsar"
VNS,"Lal Bahadur Shastri, Varanasi"
CJB,"Coimbatore International, Coimbatore"
NAG,"Dr. Babasaheb Ambedkar International, Nagpur"
VTZ,"Visakhapatnam International, Visakhapatnam"
IXR,"Birsa Munda, Ranchi"
RPR,"Swami Vivekananda Airport, Raipur"
IXE,"Mangalore International, Mangalore"
